wavelength,flux,e_flux
9172.06216,5.370380154e-15,5.370380154e-15
9168.496475,2.642022754e-14,2.642022754e-14
9164.931687,3.503685335e-14,3.503685335e-14
9161.367795,2.00194848e-14,2.00194848e-14
9157.804796,3.073098124e-14,3.073098124e-14
9154.24269,2.954093698e-14,2.954093698e-14
9150.681474,1.420026461e-14,1.420026461e-14
9147.121146,6.486229354e-15,6.486229354e-15
9143.561706,2.644843048e-14,2.644843048e-14
9140.003151,2.677322768e-14,2.677322768e-14
9136.44548,1.822199441e-14,1.822199441e-14
9132.888691,1.550934938e-14,1.550934938e-14
9129.332782,7.242350088e-15,7.242350088e-15
9125.777751,-1.275074498e-15,-1.275074498e-15
9122.223598,-5.62471526e-16,-5.62471526e-16
9118.67032,4.850699229e-15,4.850699229e-15
9115.117915,-8.303864289e-16,-8.303864289e-16
9111.566382,-4.824216439e-16,-4.824216439e-16
9108.015719,-1.922900682e-15,-1.922900682e-15
9104.465924,3.781794433e-15,3.781794433e-15
9100.916997,5.24653442e-15,5.24653442e-15
9097.368934,4.805016046e-15,4.805016046e-15
9093.821735,2.024494221e-15,2.024494221e-15
9090.275398,2.782058844e-15,2.782058844e-15
9086.729921,5.798734882e-15,5.798734882e-15
9083.185302,3.731302457e-15,3.731302457e-15
9079.64154,3.04313548e-15,3.04313548e-15
9076.098634,1.774572326e-15,1.774572326e-15
9072.556581,2.540805236e-15,2.540805236e-15
9069.015379,1.783810146e-15,1.783810146e-15
9065.475028,9.942904066e-16,9.942904066e-16
9061.935525,7.955653483e-16,7.955653483e-16
9058.39687,4.111857032e-16,4.111857032e-16
9054.859059,2.680933912e-16,2.680933912e-16
9051.322092,-2.191426125e-16,-2.191426125e-16
9047.785968,-4.673757208e-17,-4.673757208e-17
9044.250683,-2.487234872e-17,-2.487234872e-17
9040.716237,7.804628313e-17,7.804628313e-17
9037.182628,2.900929912e-16,2.900929912e-16
9033.649855,3.560248811e-16,3.560248811e-16
9030.117916,3.311310752e-16,3.311310752e-16
9026.586808,3.205432858e-16,3.205432858e-16
9023.056532,4.850609702e-16,4.850609702e-16
9019.527084,2.63098461e-16,2.63098461e-16
9015.998463,3.271518531e-16,3.271518531e-16
9012.470669,3.590454191e-16,3.590454191e-16
9008.943698,1.63983725e-16,1.63983725e-16
9005.41755,6.962636866e-17,6.962636866e-17
9001.892223,1.304885427e-16,1.304885427e-16
8998.367715,1.029939518e-16,1.029939518e-16
8994.844025,8.346383239e-17,8.346383239e-17
8991.32115,4.980083925e-17,4.980083925e-17
8987.799091,6.790225232e-17,6.790225232e-17
8984.277844,2.260005133e-17,2.260005133e-17
8980.757408,2.742622753e-17,2.742622753e-17
8977.237782,2.909030927e-17,2.909030927e-17
8973.718964,4.232423133e-17,4.232423133e-17
8970.200953,8.268940214e-17,8.268940214e-17
8966.683747,8.718054231e-17,8.718054231e-17
8963.167344,9.378640986e-17,9.378640986e-17
8959.651743,1.011859644e-16,1.011859644e-16
8956.136941,4.116728988e-17,4.116728988e-17
8952.622939,6.555628913e-17,6.555628913e-17
8949.109734,9.730477113e-17,9.730477113e-17
8945.597324,7.612549626e-17,7.612549626e-17
8942.085708,2.549621156e-17,2.549621156e-17
8938.574884,7.811516595e-17,7.811516595e-17
8935.064851,2.926740443e-17,2.926740443e-17
8931.555607,4.333631451e-17,4.333631451e-17
8928.047151,7.078066415e-18,7.078066415e-18
8924.539481,2.147169646e-17,2.147169646e-17
8921.032596,1.585612103e-17,1.585612103e-17
8917.526493,1.623468227e-17,1.623468227e-17
8914.021172,1.324172774e-17,1.324172774e-17
8910.516631,7.176744801e-17,7.176744801e-17
8907.012868,4.275028454e-17,4.275028454e-17
8903.509882,4.824370585e-17,4.824370585e-17
8900.007671,4.075068051e-17,4.075068051e-17
8896.506234,1.77002009e-17,1.77002009e-17
8893.005569,6.313973945e-17,6.313973945e-17
8889.505675,5.013791915e-17,5.013791915e-17
8886.006549,5.335525098e-17,5.335525098e-17
8882.508192,2.583884542e-17,2.583884542e-17
8879.0106,5.358903761e-17,5.358903761e-17
8875.513773,5.472433163e-17,5.472433163e-17
8872.017709,2.543955117e-17,2.543955117e-17
8868.522407,6.109400198e-17,6.109400198e-17
8865.027864,5.054466436e-17,5.054466436e-17
8861.53408,4.085347234e-17,4.085347234e-17
8858.041053,2.569572453e-17,2.569572453e-17
8854.548781,3.366572385e-17,3.366572385e-17
8851.057263,7.30978143e-18,7.30978143e-18
8847.566498,8.546786381e-19,8.546786381e-19
8844.076484,2.996733854e-17,2.996733854e-17
8840.587218,1.47077217e-17,1.47077217e-17
8837.098701,1.448059717e-17,1.448059717e-17
8833.610931,2.678937171e-17,2.678937171e-17
8830.123905,2.357028374e-17,2.357028374e-17
8826.637622,8.747251342e-18,8.747251342e-18
8823.152082,2.760762157e-17,2.760762157e-17
8819.667282,2.880988451e-17,2.880988451e-17
8816.183221,2.247320117e-17,2.247320117e-17
8812.699897,3.879554536e-17,3.879554536e-17
8809.21731,3.140211354e-17,3.140211354e-17
8805.735457,6.806592314e-17,6.806592314e-17
8802.254337,3.729069264e-17,3.729069264e-17
8798.773948,4.979291563e-17,4.979291563e-17
8795.29429,4.745732496e-17,4.745732496e-17
8791.81536,6.713280774e-17,6.713280774e-17
8788.337158,5.331196997e-17,5.331196997e-17
8784.859681,2.140249959e-17,2.140249959e-17
8781.382928,3.053949042e-17,3.053949042e-17
8777.906899,1.814615259e-17,1.814615259e-17
8774.43159,2.18536689e-17,2.18536689e-17
8770.957002,2.45789757e-17,2.45789757e-17
8767.483131,1.542492123e-17,1.542492123e-17
8764.009978,8.612912531e-18,8.612912531e-18
8760.537541,2.156051165e-17,2.156051165e-17
8757.065817,2.710702312e-17,2.710702312e-17
8753.594806,3.018040794e-17,3.018040794e-17
8750.124506,4.819887016e-17,4.819887016e-17
8746.654916,4.108659367e-17,4.108659367e-17
8743.186035,4.611274155e-17,4.611274155e-17
8739.71786,3.624041004e-17,3.624041004e-17
8736.25039,3.789652974e-17,3.789652974e-17
8732.783625,4.488633275e-17,4.488633275e-17
8729.317562,6.190424897e-17,6.190424897e-17
8725.852201,4.213440269e-17,4.213440269e-17
8722.387539,3.315848954e-17,3.315848954e-17
8718.923575,2.440257473e-17,2.440257473e-17
8715.460309,3.750575871e-17,3.750575871e-17
8711.997738,1.759471365e-17,1.759471365e-17
8708.535861,2.550234213e-17,2.550234213e-17
8705.074676,1.889496991e-17,1.889496991e-17
8701.614183,-6.304029132e-18,-6.304029132e-18
8698.15438,1.920695132e-17,1.920695132e-17
8694.695265,3.086153251e-17,3.086153251e-17
8691.236837,2.515431122e-17,2.515431122e-17
8687.779095,3.022569774e-17,3.022569774e-17
8684.322037,2.259459317e-17,2.259459317e-17
8680.865662,5.633836699e-17,5.633836699e-17
8677.409969,3.726458675e-17,3.726458675e-17
8673.954955,2.997998951e-17,2.997998951e-17
8670.500621,3.496057974e-17,3.496057974e-17
8667.046963,2.475923651e-17,2.475923651e-17
8663.593982,1.813010241e-17,1.813010241e-17
8660.141675,1.034051588e-17,1.034051588e-17
8656.690041,5.786360101e-18,5.786360101e-18
8653.239079,2.557931923e-17,2.557931923e-17
8649.788787,1.792074322e-17,1.792074322e-17
8646.339165,1.569979103e-17,1.569979103e-17
8642.89021,4.851164195e-17,4.851164195e-17
8639.441921,3.927026157e-17,3.927026157e-17
8635.994298,5.759126559e-17,5.759126559e-17
8632.547338,3.280340273e-17,3.280340273e-17
8629.10104,4.532651717e-17,4.532651717e-17
8625.655403,3.705081344e-17,3.705081344e-17
8622.210426,2.128032711e-17,2.128032711e-17
8618.766106,2.154567979e-17,2.154567979e-17
8615.322444,3.358501996e-18,3.358501996e-18
8611.879437,2.054983418e-17,2.054983418e-17
8608.437084,2.165492925e-17,2.165492925e-17
8604.995384,2.885869175e-17,2.885869175e-17
8601.554335,2.438643115e-17,2.438643115e-17
8598.113937,1.386910689e-17,1.386910689e-17
8594.674187,3.044631033e-17,3.044631033e-17
8591.235084,4.408885561e-17,4.408885561e-17
8587.796628,3.049100148e-17,3.049100148e-17
8584.358817,4.162780634e-17,4.162780634e-17
8580.921648,4.24915993e-17,4.24915993e-17
8577.485122,3.601052202e-17,3.601052202e-17
8574.049237,2.511543457e-17,2.511543457e-17
8570.613992,1.395065512e-17,1.395065512e-17
8567.179384,1.757634772e-17,1.757634772e-17
8563.745413,1.456647769e-17,1.456647769e-17
8560.312078,1.104042542e-17,1.104042542e-17
