event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN2007jg,54357.422816,18.472,0.010,F,r',,SDSS,2014arXiv1401.3317S
SN2007jg,54357.423645,18.616,0.013,F,i',,SDSS,2014arXiv1401.3317S
SN2007jg,54357.424475,20.106,0.068,F,u',,SDSS,2014arXiv1401.3317S
SN2007jg,54357.425304,18.474,0.029,F,z',,SDSS,2014arXiv1401.3317S
SN2007jg,54357.426133,18.390,0.009,F,g',,SDSS,2014arXiv1401.3317S
SN2007jg,54362.472925,17.648,0.006,F,r',,SDSS,2014arXiv1401.3317S
SN2007jg,54362.473754,17.907,0.012,F,i',,SDSS,2014arXiv1401.3317S
SN2007jg,54362.474584,18.851,0.031,F,u',,SDSS,2014arXiv1401.3317S
SN2007jg,54362.475413,17.914,0.024,F,z',,SDSS,2014arXiv1401.3317S
SN2007jg,54362.476242,17.646,0.013,F,g',,SDSS,2014arXiv1401.3317S
SN2007jg,54363.30672,17.728,0.009,F,B,,,2010AJ....139..519C
SN2007jg,54363.30672,17.888,0.071,F,H,,,2010AJ....139..519C
SN2007jg,54363.30672,17.596,0.015,F,J,,,2010AJ....139..519C
SN2007jg,54363.30672,17.631,0.009,F,V,,,2010AJ....139..519C
SN2007jg,54363.30672,17.681,0.017,F,Y,,,2010AJ....139..519C
SN2007jg,54363.30672,17.602,0.007,F,g,,,2010AJ....139..519C
SN2007jg,54363.30672,17.988,0.019,F,i,,,2010AJ....139..519C
SN2007jg,54363.30672,17.624,0.014,F,r,,,2010AJ....139..519C
SN2007jg,54363.30672,18.716,0.026,F,u,,,2010AJ....139..519C
SN2007jg,54364.33985,17.675,0.009,F,B,,,2010AJ....139..519C
SN2007jg,54364.33985,17.583,0.008,F,V,,,2010AJ....139..519C
SN2007jg,54364.33985,17.542,0.007,F,g,,,2010AJ....139..519C
SN2007jg,54364.33985,18.014,0.022,F,i,,,2010AJ....139..519C
SN2007jg,54364.33985,17.560,0.010,F,r,,,2010AJ....139..519C
SN2007jg,54364.33985,18.689,0.027,F,u,,,2010AJ....139..519C
SN2007jg,54365.36091,17.651,0.009,F,B,,,2010AJ....139..519C
SN2007jg,54365.36091,17.734,0.040,F,J,,,2010AJ....139..519C
SN2007jg,54365.36091,17.544,0.008,F,V,,,2010AJ....139..519C
SN2007jg,54365.36091,17.791,0.042,F,Y,,,2010AJ....139..519C
SN2007jg,54365.36091,17.517,0.005,F,g,,,2010AJ....139..519C
SN2007jg,54365.36091,18.030,0.018,F,i,,,2010AJ....139..519C
SN2007jg,54365.36091,17.499,0.010,F,r,,,2010AJ....139..519C
SN2007jg,54365.36091,18.673,0.024,F,u,,,2010AJ....139..519C
SN2007jg,54368.32957,17.684,0.016,F,B,,,2010AJ....139..519C
SN2007jg,54368.32957,17.511,0.014,F,V,,,2010AJ....139..519C
SN2007jg,54368.32957,17.553,0.011,F,g,,,2010AJ....139..519C
SN2007jg,54368.32957,18.120,0.025,F,i,,,2010AJ....139..519C
SN2007jg,54368.32957,17.449,0.014,F,r,,,2010AJ....139..519C
SN2007jg,54368.49558,18.0227,0.0299,F,i',,,2012ApJS..200...12H
SN2007jg,54368.49789,17.4570,0.0203,F,r',,,2012ApJS..200...12H
SN2007jg,54368.50021,17.5043,0.0213,F,V,,,2012ApJS..200...12H
SN2007jg,54368.50321,17.6426,0.0233,F,B,,,2012ApJS..200...12H
SN2007jg,54368.50694,18.1946,0.0711,F,U,,,2012ApJS..200...12H
SN2007jg,54369.38134,18.0781,0.0384,F,i',,,2012ApJS..200...12H
SN2007jg,54369.38366,17.4534,0.0215,F,r',,,2012ApJS..200...12H
SN2007jg,54370.44013,18.0336,0.0408,F,i',,,2012ApJS..200...12H
SN2007jg,54370.44244,17.5358,0.0242,F,r',,,2012ApJS..200...12H
SN2007jg,54370.44476,17.5109,0.0230,F,V,,,2012ApJS..200...12H
SN2007jg,54376.29012,18.261,0.011,F,B,,,2010AJ....139..519C
SN2007jg,54376.29012,17.814,0.008,F,V,,,2010AJ....139..519C
SN2007jg,54376.29012,17.988,0.006,F,g,,,2010AJ....139..519C
SN2007jg,54376.29012,18.687,0.028,F,i,,,2010AJ....139..519C
SN2007jg,54376.29012,17.816,0.009,F,r,,,2010AJ....139..519C
SN2007jg,54376.29012,19.747,0.049,F,u,,,2010AJ....139..519C
SN2007jg,54376.468952,17.815,0.009,F,r',,SDSS,2014arXiv1401.3317S
SN2007jg,54376.469782,18.527,0.014,F,i',,SDSS,2014arXiv1401.3317S
SN2007jg,54376.470611,19.800,0.057,F,u',,SDSS,2014arXiv1401.3317S
SN2007jg,54376.471440,18.466,0.037,F,z',,SDSS,2014arXiv1401.3317S
SN2007jg,54376.472270,18.034,0.023,F,g',,SDSS,2014arXiv1401.3317S
SN2007jg,54377.27403,19.148,0.143,F,J,,,2010AJ....139..519C
SN2007jg,54377.27403,18.502,0.038,F,Y,,,2010AJ....139..519C
SN2007jg,54378.35722,18.503,0.014,F,B,,,2010AJ....139..519C
SN2007jg,54378.35722,17.962,0.010,F,V,,,2010AJ....139..519C
SN2007jg,54378.35722,18.182,0.009,F,g,,,2010AJ....139..519C
SN2007jg,54378.35722,18.816,0.036,F,i,,,2010AJ....139..519C
SN2007jg,54378.35722,17.984,0.014,F,r,,,2010AJ....139..519C
SN2007jg,54378.35722,19.834,0.086,F,u,,,2010AJ....139..519C
SN2007jg,54379.42934,18.7391,0.0592,F,i',,,2012ApJS..200...12H
SN2007jg,54379.43167,18.0554,0.0227,F,r',,,2012ApJS..200...12H
SN2007jg,54379.43398,18.0694,0.0287,F,V,,,2012ApJS..200...12H
SN2007jg,54379.43700,18.6117,0.0415,F,B,,,2012ApJS..200...12H
SN2007jg,54379.44075,19.2509,0.1926,F,U,,,2012ApJS..200...12H
SN2007jg,54380.34182,18.781,0.019,F,B,,,2010AJ....139..519C
SN2007jg,54380.34182,18.110,0.011,F,V,,,2010AJ....139..519C
SN2007jg,54380.34182,18.392,0.010,F,g,,,2010AJ....139..519C
SN2007jg,54380.34182,18.904,0.038,F,i,,,2010AJ....139..519C
SN2007jg,54380.34182,18.095,0.016,F,r,,,2010AJ....139..519C
SN2007jg,54380.34182,20.097,0.073,F,u,,,2010AJ....139..519C
SN2007jg,54380.46149,18.7791,0.0575,F,i',,,2012ApJS..200...12H
SN2007jg,54380.47755,18.0996,0.0255,F,r',,,2012ApJS..200...12H
SN2007jg,54380.47986,18.1258,0.0273,F,V,,,2012ApJS..200...12H
SN2007jg,54380.48288,18.8230,0.0429,F,B,,,2012ApJS..200...12H
